,state,lat,long,id,week,population,confirmed,death,prop_vaccinated,prevalence,log_prevalence,prev_day_total,new_cases,incidence,log_incidence,prev_day_actual,covid_status
1,New York,40.58582155,-74.14808598,ID1946,2020-01-20,476143,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
2,New York,40.6361825,-73.94935552,ID1926,2020-01-20,2559903,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
3,New York,40.71088124,-73.81684712,ID1944,2020-01-20,2253858,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
4,New York,40.74066522,-73.58941873,ID1932,2020-01-20,1356924,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
5,New York,40.7672726,-73.97152637,ID1933,2020-01-20,1628706,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
6,New York,40.85209301,-73.86282755,ID1905,2020-01-20,1418207,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
7,New York,40.88320119,-72.8012172,ID1955,2020-01-20,1476601,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
8,New York,41.15027894,-74.02560498,ID1947,2020-01-20,325789,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
9,New York,41.16278376,-73.75741653,ID1964,2020-01-20,967506,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
10,New York,41.40337468,-74.30240757,ID1938,2020-01-20,384940,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
11,New York,41.42630093,-73.74965532,ID1943,2020-01-20,98320,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
12,New York,41.71579493,-74.76394559,ID1956,2020-01-20,75432,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
13,New York,41.7648606,-73.74356679,ID1916,2020-01-20,294218,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
14,New York,41.89027881,-74.26252104,ID1959,2020-01-20,177573,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
15,New York,42.13891056,-76.7638805,ID1910,2020-01-20,83456,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
16,New York,42.15903158,-75.81326086,ID1906,2020-01-20,190488,0,0,0,0,-2.302585093,0,0,0,-2.302585093,0,0
